Name,Teff,e_Teff,R*,e_R*,log(g),e_log(g),[Fe/H],e_[Fe/H],M*,e_M*,logAge,e_logAge,plx,Vmag,Notes,SCat,unknown,Gaia,2M,Simbad,_RA,_DE,simbadnames,ID_NAME
HD_100623,5140,60,0.72,0.04,4.56,0.05,-0.36,0.05,0.75,0.04,9.81,0.5,104.6,6.0,A,1,1,Gaia,2M,Simbad,173.62286,-32.831340000000004,PLX_2678|CD-32__8179|CPC_17__5727|CPD-32__3122|Ci_20__648|GC_15873|GCRV__7038|GEN#_+1.00100623|GJ___432_A|HD_100623|HIC__56452|HIP__56452|HR__4458|IRAS_11320-3233|JP11__2074|LFT__823|LHS___308|LPM_389|LTT__4280|N30_2704|NLTT_27854|PM_11320-3234A|PPM_289079|Ruiz_439-246|SAO_202583|SKY#_21930|SPOCS__496|TYC_7220-866-1|UBV___10441|UBV_M__17193|Zkh_161|uvby98_100100623|WDS_J11345-3250A|**_LDS_6245A|CCDM_J11345-3250A|UCAC3_115-141011|2MASS_J11342953-3249533|PM_11320-3234|WISEA_J113428.91-324944.0|Gaia_DR1_3478127463341507072|WEB_10144|Gaia_DR2_3478127463341507072,Gaia_DR2_3478127463341507072
HD_101904,5883,60,1.54,0.19,4.1,0.05,0.12,0.05,1.12,0.09,9.8,0.11,12.5,8.2,A,1,1,Gaia,2M,Simbad,176.00117,64.9642,SPOCS_2801|AG+65__578|AGKR_10518|BD+65___848|GC_16096|GSC_04156-00128|HD_101904|HIC__57221|HIP__57221|PPM__17989|SAO__15616|TYC_4156-128-1|uvby98_100101904|2MASS_J11440028+6457511|Gaia_DR1_864491807613289600|GEN#_+1.00101904|Gaia_DR2_864492018067010560,Gaia_DR2_864492018067010560
HD_102195,5277,60,0.85,0.05,4.5,0.05,0.1,0.05,0.89,0.04,9.74,0.49,34.0,8.1,A,1,1,Gaia,2M,Simbad,176.42622,2.82148,SPOCS_2802|LSPM_J1145+0249|TYC__275-157-1|ASCC_1135957|USNO-B1.0_0928-00272956|AG+03_1541|AGKR_10555|BD+03__2549|GC_16129|HD_102195|HIC__57370|HIP__57370|LTT_13232|NLTT_28458|PPM_158179|SAO_119033|SRS__10561|YZ___3__4348|Gaia_DR2_3799626935341796096|2MASS_J11454228+0249174|1RXS_J114542.1+024924|SDSS_J114542.28+024917.0|WISEA_J114542.16+024916.1|EPIC_201650346|Gaia_DR1_3799626931046821504,Gaia_DR2_3799626935341796096
HD_102444,5227,60,2.67,0.39,3.6,0.05,0.0,0.05,1.02,0.21,9.98,0.27,8.5,8.0,A,1,1,Gaia,2M,Simbad,176.88109,-5.26362,Gaia_DR2_3598898374589122432|UCAC4_424-055472|SPOCS_2803|BD-04__3144|GSC_04937-01052|HD_102444|HIC__57536|HIP__57536|PPM_194816|SAO_138405|TYC_4937-1052-1|YZ__94__4413|2MASS_J11473146-0515490|EPIC_201151359|Gaia_DR1_3598898370292838528,Gaia_DR2_3598898374589122432
HD_102956,4985,60,3.79,0.47,3.38,0.05,0.26,0.05,1.3,0.15,9.7,0.17,8.1,7.9,A,1,1,Gaia,2M,Simbad,177.8438,57.64073000000001,SPOCS_2804|AG+57__830|AGKR_10629|BD+58__1340|GC_16229|GSC_03839-00846|HD_102956|HIC__57820|HIP__57820|PMC_90-93__3460|PPM__33272|SAO__28161|SKY#_22377|TYC_3839-846-1|YZ__57__6924|uvby98_100102956|Gaia_DR2_845335158256083584|2MASS_J11512253+5738267|UCAC3_296-111735|Gaia_DR1_845335153961255680|GEN#_+1.00102956,Gaia_DR2_845335158256083584
HD_103459,5722,60,1.71,0.21,4.03,0.05,0.24,0.05,1.15,0.12,9.81,0.15,16.0,7.6,A,2,1,Gaia,2M,Simbad,178.71649,-1.45149,PLX_2755|SPOCS_2809|AG-01_1627|AGKR_10683|BD-00__2510|GC_16290|GCRV__7186|GEN#_+1.00103459|GSC_04932-00592|HD_103459|HIC__58093|HIP__58093|LTT__4431|NLTT_28935|PPM_178629|SAO_138476|SKY#_22447|SRS__10651|TYC_4932-592-1|YZ__91__3322|uvby98_100103459|2MASS_J11545196-0127054|PLX_2755.00|WISEA_J115452.05-012708.4|EPIC_201367296|WEB_10400|Gaia_DR2_3602296587073060224,Gaia_DR2_3602296587073060224
HD_103890,6120,60,1.43,0.16,4.19,0.05,0.03,0.05,1.17,0.07,9.63,0.09,13.7,8.0,A,1,1,Gaia,2M,Simbad,179.44244,-8.27528,SPOCS_2814|BD-07__3323|GSC_05518-00363|HD_103890|HIC__58333|HIP__58333|PPM_195008|SAO_138502|SKY#_22524|TYC_5518-363-1|YZ__97__4425|uvby98_100103890|2MASS_J11574618-0816309|Gaia_DR1_3594215344111465344|GEN#_+1.00103890|Gaia_DR2_3594215344111465344,Gaia_DR2_3594215344111465344
HD_104437,5761,60,1.03,0.09,4.4,0.05,0.17,0.05,1.03,0.04,9.64,0.35,16.6,8.6,A,1,1,Gaia,2M,Simbad,180.42003,39.58659,SPOCS_2817|AG+39_1229|AGKR_10784|BD+40__2490|FK5_5058|GEN#_+1.00104437|GSC_03017-00599|HD_104437|HIC__58656|HIP__58656|NGP_40__59|PPM__76224|SAO__62803|TYC_3017-599-1|UBV_M__17629|uvby98_100104437|2MASS_J12014079+3935118|Gaia_DR1_4034726362722863360|Gaia_DR2_4034726367018683520,Gaia_DR2_4034726367018683520
HD_106088,5470,60,2.07,0.26,3.87,0.05,0.34,0.05,1.23,0.12,9.75,0.13,10.3,8.4,A,1,1,Gaia,2M,Simbad,183.10271,19.80102,SPOCS_2824|AG+20_1323|AGKR_10941|BD+20__2693|GSC_01444-01850|HD_106088|HIC__59525|HIP__59525|PPM_128857|SAO__82184|TYC_1444-1850-1|YZ__20__4464|2MASS_J12122465+1948035|Gaia_DR1_3951357645893823872|Gaia_DR2_3951357650189291392,Gaia_DR2_3951357650189291392
HD_107181,5628,60,1.64,0.21,4.05,0.05,0.31,0.05,1.13,0.12,9.86,0.15,12.5,8.4,A,1,1,Gaia,2M,Simbad,184.86392,-26.10737,SPOCS_2830|GC_16801|CD-25__9167|CPD-25__4923|GSC_06685-00894|HD_107181|HIC__60096|HIP__60096|PPM_260162|SAO_180680|TYC_6685-894-1|YZ_115__9313|uvby98_100107181|2MASS_J12192733-2606264|WISEA_J121927.38-260627.5|Gaia_DR1_3476529082673374592|GEN#_+1.00107181|Gaia_DR2_3476529086968390912,Gaia_DR2_3476529086968390912
HD_108189,5373,60,2.89,0.41,3.56,0.05,0.03,0.05,1.15,0.21,9.81,0.23,7.5,7.7,A,1,1,Gaia,2M,Simbad,186.41909,-0.28218000000000004,SPOCS_2831|AG-00_1731|AGKR_11128|BD+00__2942|GSC_04941-00102|HD_108189|HIC__60641|HIP__60641|PPM_178782|SAO_138774|SKY#_23265|SRS__10983|TYC_4941-102-1|YZ__90__3412|uvby98_100108189|2MASS_J12254058-0016557|1RXS_J122540.1-001646|SDSS_J122540.60-001656.0|Gaia_DR1_3696625746907767168|GEN#_+1.00108189|Gaia_DR2_3696625751204285568,Gaia_DR2_3696625751204285568
HD_108863,4878,60,5.59,0.66,3.08,0.05,0.2,0.05,1.37,0.14,9.61,0.15,5.8,7.7,A,1,1,Gaia,2M,Simbad,187.58296,21.94824,SPOCS_2833|AG+22_1323|AGKR_11193|BD+22__2478|GC_17044|GEN#_+1.00108863|GSC_01447-02345|HD_108863|HIC__61020|HIP__61020|PPM_101948|SAO__82342|SKY#_23386|TYC_1447-2345-1|UBV_M__18292|YZ__22__4529|Gaia_DR2_3952692457305436800|2MASS_J12301991+2156537|Gaia_DR1_3952692453009845632,Gaia_DR2_3952692457305436800
HD_109159,5151,60,2.57,0.32,3.6,0.05,-0.08,0.05,0.93,0.13,10.09,0.17,9.7,8.0,A,1,1,Gaia,2M,Simbad,188.17179,-17.220679999999998,SPOCS_2836|BD-16__3488|GSC_06103-00098|HD_109159|HIC__61218|HIP__61218|PPM_225994|SAO_157351|SKY#_23456|SRS__11058|TYC_6103-98-1|YZ_106__4815|uvby98_100109159|2MASS_J12324124-1713145|Gaia_DR1_3517300176421129600|GEN#_+1.00109159|Gaia_DR2_3517300180717085568,Gaia_DR2_3517300180717085568
HD_109749,5825,60,1.31,0.15,4.24,0.05,0.24,0.05,1.1,0.08,9.78,0.13,15.9,8.1,A,1,1,Gaia,2M,Simbad,189.31824,-40.81212,CD-40__7393A|2MASS_J12371639-4048435|UCAC4_246-055662|UCAC3_99-121719|TYC_7762-1479-1|**_R__203A|WDS_J12373-4049A|IDS_12319-4016_A|CCDM_J12373-4049A|HD_109749A|Gaia_DR1_6147000074988843264|SPOCS_2840|CD-40__7393|CPC__0_10543|CPD-40__5823|CSI-40__5823_41|GC_17187|HD_109749|HIC__61595|HIP__61595|PPM_317622|SAO_223556|uvby98_100109749|Gaia_DR2_6147000074988843264|GEN#_+1.00109749,Gaia_DR2_6147000074988843264
